1;<;< > m mi o oi s si f fi d di =;< o m d s;<;<;< o m d s;<;< o m d s;<;<;< o m d s;<
2;< > m mi o oi s si f fi d di =;>;> oi mi d f;>;> oi mi d f;>;> oi mi d f;>;> oi mi d f;>;>;>
3;<;>;d;< > m mi o oi s si f fi d di =;< o m d s;> oi mi d f;<;>;d;> oi mi d f;d;< o m d s
4;< o m di fi;> oi di mi si;o oi s si f fi d di =;di;o di fi;oi di si;o di fi;oi di si;o di fi;di ;oi di si ;di
5;<;> oi di mi si;o d s;< o m di fi;< o m;o oi s si f fi d di =;<;oi di si;o;o di fi;o d s;< o m
6;< o m di fi;>;oi d f;> oi di mi si;o oi s si f fi d di =;> oi mi;o di fi;>;oi d f;> oi mi;oi;oi di si
7;<;> oi di mi si;o d s;<;<;o d s;<;f fi =;m;m;o d s;<
8;< o m di fi;>;oi d f;>;oi d f;>;s si =;>;oi d f;>;mi;mi
9;<;>;d;< o m di fi;< o m;oi d f;<;mi;s;s si =;d;< o m
10;< o m di fi;>;oi d f;di;o di fi;oi;o di fi;mi;s si =;si;oi;di
11;<;>;d;> oi di mi si;o d s;> oi mi;m;>;d;> oi mi;f;f fi =
12;<;> oi di mi si;o d s;di;o;oi di si;m;oi di si;o;di;f fi =;f
